activity_id;date;distance_in_m;split_no;average_speed_formatted;adjusted_grade_speed_formatted;average_speed;adjusted_grade_speed;elevation_difference_in_m;location;activity_type;pace_zone
9803374887;2023-09-07 17:32:22+00:00;1003,2;1;03:54;03:53;0 days 00:03:54.941452;0 days 00:03:53.846154;2,5;Austria;Run;Zone5
10251272975;2023-11-20 13:13:01+00:00;999,4;10;03:55;03:55;0 days 00:03:55.152941;0 days 00:03:55.707547;-2,3;Austria;Run;Zone5
9502082469;2023-07-22 18:40:44+00:00;1002,0;10;03:55;03:54;0 days 00:03:55.211268;0 days 00:03:54.660422;0,0;Austria;Run;Zone5
10269915772;2023-11-23 17:58:51+00:00;1000,8;6;03:57;03:56;0 days 00:03:57.156398;0 days 00:03:56.037736;1,2;Austria;Run;Zone5
9757548261;2023-08-31 17:33:26+00:00;1000,8;9;03:57;03:56;0 days 00:03:57.156398;0 days 00:03:56.595745;1,3;Austria;Run;Zone5
10269915772;2023-11-23 17:58:51+00:00;1003,8;2;03:57;03:58;0 days 00:03:57.867299;0 days 00:03:58.432304;-2,2;Austria;Run;Zone5
9803281591;2023-09-07 17:20:24+00:00;1002,2;1;03:58;03:58;0 days 00:03:58.052257;0 days 00:03:58.052257;-0,1;Austria;Run;Zone5
9875739467;2023-09-18 20:07:53+00:00;1002,7;1;03:58;03:59;0 days 00:03:58.738095;0 days 00:03:59.880383;-5,6;Austria;Run;Zone5
9668518244;2023-08-17 19:56:17+00:00;1000,6;1;03:58;03:58;0 days 00:03:58.806683;0 days 00:03:58.238095;0,0;Austria;Run;Zone5
10066868743;2023-10-19 12:40:23+00:00;998,8;4;03:58;03:56;0 days 00:03:58.947368;0 days 00:03:56.682464;4,4;Austria;Run;Zone5
9638039883;2023-08-13 10:06:08+00:00;1004,0;3;03:59;03:59;0 days 00:03:59.047619;0 days 00:03:59.618138;-1,9;Austria;Run;Zone5
10061108064;2023-10-18 13:01:47+00:00;1002,2;1;03:59;03:55;0 days 00:03:59.188544;0 days 00:03:55.811765;5,6;Austria;Run;Zone5
9426445102;2023-07-10 19:07:10+00:00;999,6;8;03:59;04:00;0 days 00:03:59.712230;0 days 00:04:00.288462;-1,8;Austria;Run;Zone5
10269915772;2023-11-23 17:58:51+00:00;1000,1;1;03:59;03:58;0 days 00:03:59.832134;0 days 00:03:58.687351;2,4;Austria;Run;Zone5
9638039883;2023-08-13 10:06:08+00:00;998,0;2;03:59;04:00;0 days 00:03:59.903846;0 days 00:04:00.481928;-2,6;Austria;Run;Zone5
10229932486;2023-11-16 18:08:17+00:00;997,0;2;04:00;04:00;0 days 00:04:00.821256;0 days 00:04:00.821256;0,9;Austria;Run;Zone5
9875797611;2023-09-18 20:37:19+00:00;1000,8;1;04:01;03:51;0 days 00:04:01.156627;0 days 00:03:51.131640;3,9;Austria;Run;Zone5
10269915772;2023-11-23 17:58:51+00:00;996,7;3;04:01;04:00;0 days 00:04:01.917476;0 days 00:04:00.168675;2,2;Austria;Run;Zone5
9668576606;2023-08-17 20:08:52+00:00;1001,6;1;04:01;04:01;0 days 00:04:01.932367;0 days 00:04:01.349398;-0,2;Austria;Run;Zone5
9502082469;2023-07-22 18:40:44+00:00;1000,0;9;04:02;04:03;0 days 00:04:02.718447;0 days 00:04:03.309002;-1,7;Austria;Run;Zone5
9962731819;2023-10-02 13:56:27+00:00;997,5;25;04:03;04:02;0 days 00:04:03.292683;0 days 00:04:02.700730;0,8;Austria;Run;Zone5
10152810766;2023-11-03 12:06:03+00:00;999,8;7;04:03;04:15;0 days 00:04:03.853659;0 days 00:04:15.051020;-24,5;Austria;Run;Zone5
9668460962;2023-08-17 19:44:03+00:00;1000,5;1;04:04;04:03;0 days 00:04:04.024390;0 days 00:04:03.430657;-0,3;Austria;Run;Zone5
10152810766;2023-11-03 12:06:03+00:00;998,6;9;04:04;04:06;0 days 00:04:04.156479;0 days 00:04:06.567901;-6,8;Austria;Run;Zone5
9668490454;2023-08-17 19:50:08+00:00;1001,6;1;04:04;04:04;0 days 00:04:04.889976;0 days 00:04:04.292683;-0,2;Austria;Run;Zone5
10152810766;2023-11-03 12:06:03+00:00;1002,1;8;04:06;04:06;0 days 00:04:06.216216;0 days 00:04:06.216216;-1,6;Austria;Run;Zone5
10229932486;2023-11-16 18:08:17+00:00;1004,7;1;04:08;04:08;0 days 00:04:08.074074;0 days 00:04:08.074074;-0,2;Austria;Run;Zone5
9848883738;2023-09-14 16:26:50+00:00;997,7;3;04:08;04:17;0 days 00:04:08.802993;0 days 00:04:17.803618;-17,5;Austria;Run;Zone5
9615176086;2023-08-09 17:46:39+00:00;997,7;11;04:08;04:10;0 days 00:04:08.802993;0 days 00:04:10.050125;-4,3;Austria;Run;Zone5
10152810766;2023-11-03 12:06:03+00:00;1000,7;6;04:08;04:09;0 days 00:04:08.930348;0 days 00:04:09.551122;-3,1;Austria;Run;Zone5
10152810766;2023-11-03 12:06:03+00:00;999,1;5;04:09;04:07;0 days 00:04:09.152120;0 days 00:04:07.915633;1,2;Austria;Run;Zone5
9983196705;2023-10-05 17:29:00+00:00;1001,6;7;04:09;04:09;0 days 00:04:09.775561;0 days 00:04:09.775561;-0,7;Austria;Run;Zone5
10322935298;2023-12-03 07:55:12+00:00;999,7;5;04:09;04:09;0 days 00:04:09.925000;0 days 00:04:09.301746;0,0;Austria;Run;Zone5
9426445102;2023-07-10 19:07:10+00:00;1000,2;4;04:11;04:21;0 days 00:04:11.306533;0 days 00:04:21.832461;-21,7;Austria;Run;Zone5
9875739467;2023-09-18 20:07:53+00:00;997,7;5;04:11;04:07;0 days 00:04:11.309824;0 days 00:04:07.568238;5,2;Austria;Run;Zone5
9757548261;2023-08-31 17:33:26+00:00;997,2;10;04:11;04:12;0 days 00:04:11.818182;0 days 00:04:12.455696;-0,9;Austria;Run;Zone5
9412502393;2023-07-08 14:36:54+00:00;1000,5;6;04:12;04:12;0 days 00:04:12.015113;0 days 00:04:12.015113;-0,7;Austria;Run;Zone5
10124890207;2023-10-29 12:19:42+00:00;1000,8;4;04:12;04:13;0 days 00:04:12.090680;0 days 00:04:13.367089;-3,7;Austria;Run;Zone5
9940483859;2023-09-29 00:27:06+00:00;1003,8;8;04:12;04:09;0 days 00:04:12.211055;0 days 00:04:09.081886;6,1;Austria;Run;Zone5
